review_text,rating,len_char,len_word,tokens_clean,clean_text
"I love this game, it's really F2P friendly, and it doesn't push you to spend money in-game, the graphics are pretty, the story is amazing, and my phone doesn't even overheat, the only possible bad thing (but it's really not that bad) is that you can't have off-piece artifacts, and the bosses gain more and more health, but it really pushes you to make your builds better and better, which is understandable, so yeah, overall it's a really good game, and it's not too laggy on mobile either :D",5,493,89,"['love', 'game', 'really', 'free_to_play', 'friendly', 'not', 'push', 'spend', 'money', 'game', 'graphic', 'pretty', 'story', 'amaze', 'phone', 'not', 'even', 'overheat', 'possible', 'bad', 'thing', 'really', 'not', 'bad', 'not', 'piece', 'artifact', 'boss', 'gain', 'health', 'really', 'push', 'make', 'build', 'well', 'well', 'understandable', 'yeah', 'overall', 'really', 'good', 'game', 'not', 'laggy', 'mobile', 'either']",love game really free_to_play friendly not push spend money game graphic pretty story amaze phone not even overheat possible bad thing really not bad not piece artifact boss gain health really push make build well well understandable yeah overall really good game not laggy mobile either
Child Phainon does not look like Phainon,2,40,7,"['child', 'phainon', 'not', 'look', 'like', 'phainon']",child phainon not look like phainon
Trash 🗑️🚮 you guys don't care about stelle mains anymore! I'm deleting this game once my monthly pass will over! 👎🏻👎🏻,1,117,21,"['trash', 'guy', 'not', 'care', 'stelle', 'main', 'anymore', 'delete', 'game', 'monthly', 'pas']",trash guy not care stelle main anymore delete game monthly pas
maybe if this game had a better writer.....,1,43,8,"['maybe', 'game', 'well', 'writer']",maybe game well writer
50/50 is a complete lie its more like 75/25 on banners iv noticed you lose more 50/50 than actually winning forever having to go 180 pulls rates are terrible gameplay is now focused on whales not enough jades for a patch to even get characters never mind light cone paid to win game now,1,286,54,"['50', '50', 'complete', 'lie', 'like', '75', '25', 'banner', 'iv', 'notice', 'lose', '50', '50', 'actually', 'win', 'forever', 'go', '180', 'pull', 'rate', 'terrible', 'gameplay', 'focus', 'whale', 'not', 'enough', 'jade', 'patch', 'even', 'get', 'character', 'never', 'mind', 'light', 'cone', 'pay', 'win', 'game']",50 50 complete lie like 75 25 banner iv notice lose 50 50 actually win forever go 180 pull rate terrible gameplay focus whale not enough jade patch even get character never mind light cone pay win game
"Last update story: space battle - 10 seconds, Cyrene yapping about love - 5 hours",1,81,15,"['last', 'update', 'story', 'space', 'battle', '10', 'second', 'cyrene', 'yap', 'love', 'hour']",last update story space battle 10 second cyrene yap love hour
"Trampling on good characters as stepping stones for a waifu copycat, a certain person has truly ruined this game. P/S: Adding 1 more star solely for Dan Heng.",2,158,28,"['trample', 'good', 'character', 'step', 'stone', 'waifu', 'copycat', 'certain', 'person', 'truly', 'ruined', 'game', 'add', 'solely', 'dan', 'heng']",trample good character step stone waifu copycat certain person truly ruined game add solely dan heng
"Absolute pure paywall for an anniversary update, and thats about it.",5,68,11,"['absolute', 'pure', 'paywall', 'anniversary', 'update', 'thats']",absolute pure paywall anniversary update thats
"upd. powercreep is getting insane... upd.1 star. the ending was bad because Cyrene appeared out of nowhere, dissapointing ending. i have been playing since launch but now i dont feel like touching it again... shaoji's fault, fire him lol",1,237,39,"['upd', 'powercreep', 'get', 'insane', 'upd', 'end', 'bad', 'cyrene', 'appear', 'nowhere', 'dissapointing', 'end', 'since', 'launch', 'not', 'feel', 'like', 'touch', 'shaoji', 'fault', 'fire', 'lol']",upd powercreep get insane upd end bad cyrene appear nowhere dissapointing end since launch not feel like touch shaoji fault fire lol
"They have added a character that can revive your entire team even if she herself isn't on the team. The last four star character came out in September 2024. Every patch they add two five stars and every DPS is stronger than the last. Important story beats are resolved off screen (2.1's ending). They intentionally give characters big flaws just to sell you their E2 or lightcone/weapon. They ignore player feedback about characters, Mydei is the best example of this. 300 usd for a weapon skin.",1,495,86,"['added', 'character', 'revive', 'entire', 'team', 'even', 'not', 'team', 'last', 'four', 'character', 'come', 'september', '2024', 'every', 'patch', 'add', 'two', 'five', 'star', 'every', 'dp', 'strong', 'last', 'important', 'story', 'beat', 'resolve', 'screen', 'end', 'intentionally', 'give', 'character', 'big', 'flaw', 'sell', 'eidolon_2', 'lightcone', 'weapon', 'ignore', 'feedback', 'character', 'mydei', 'best', 'example', '300', 'usd', 'weapon', 'skin']",added character revive entire team even not team last four character come september 2024 every patch add two five star every dp strong last important story beat resolve screen end intentionally give character big flaw sell eidolon_2 lightcone weapon ignore feedback character mydei best example 300 usd weapon skin
