review_text,rating,review_date
"I love this game, it's really F2P friendly, and it doesn't push you to spend money in-game, the graphics are pretty, the story is amazing, and my phone doesn't even overheat, the only possible bad thing (but it's really not that bad) is that you can't have off-piece artifacts, and the bosses gain more and more health, but it really pushes you to make your builds better and better, which is understandable, so yeah, overall it's a really good game, and it's not too laggy on mobile either :D",5,2025-11-07 19:52:22
Child Phainon does not look like Phainon,2,2025-11-07 19:21:22
Trash 🗑️🚮 you guys don't care about stelle mains anymore! I'm deleting this game once my monthly pass will over! 👎🏻👎🏻,1,2025-11-07 19:20:35
maybe if this game had a better writer.....,1,2025-11-07 19:07:17
50/50 is a complete lie its more like 75/25 on banners iv noticed you lose more 50/50 than actually winning forever having to go 180 pulls rates are terrible gameplay is now focused on whales not enough jades for a patch to even get characters never mind light cone paid to win game now,1,2025-11-07 18:32:27
"Last update story: space battle - 10 seconds, Cyrene yapping about love - 5 hours",1,2025-11-07 18:21:51
"Trampling on good characters as stepping stones for a waifu copycat, a certain person has truly ruined this game. P/S: Adding 1 more star solely for Dan Heng.",2,2025-11-07 18:17:56
"Absolute pure paywall for an anniversary update, and thats about it.",5,2025-11-07 17:25:42
"upd. powercreep is getting insane... upd.1 star. the ending was bad because Cyrene appeared out of nowhere, dissapointing ending. i have been playing since launch but now i dont feel like touching it again... shaoji's fault, fire him lol",1,2025-11-07 15:43:00
"They have added a character that can revive your entire team even if she herself isn't on the team. The last four star character came out in September 2024. Every patch they add two five stars and every DPS is stronger than the last. Important story beats are resolved off screen (2.1's ending). They intentionally give characters big flaws just to sell you their E2 or lightcone/weapon. They ignore player feedback about characters, Mydei is the best example of this. 300 usd for a weapon skin.",1,2025-11-07 15:42:41
"this is an updated review on this game from 2023. I really adore this game ever since I started playing it. It's fast paced, easy to play. The events are decent, not too bad. You can apply autobattle while battling the enemies on the game which for me is really convenient because I get to do my work. Furthermore, I also like the songs in this game. It's both melancholy and blessed. Not to brag, also, about the designs in this game, it's pretty well made. Overall, 9/10.",4,2025-11-07 15:21:51
"2 years later and my review still stands. Rigged gacha, bad combat system, non-existent elemental reaction, bad 4 star rooster. inflexible party build and horrendous powercreep",1,2025-11-07 15:09:04
Its RIDICULOUS That You Can Only Play On PC And Mobile,1,2025-11-07 14:47:54
"story so long and feel like repeat some content about 3-4 time, if they present one of each it will be perfect, 2 star for beutiful Elysia....if isn't for her i will rate 1 star",2,2025-11-07 14:34:49
Best gameplay out of the 4 games they got,5,2025-11-07 13:40:37
